編號,英文,中文
757,officer,[名詞] 軍官;官員
758,often,[副詞] 常常
759,oil,[名詞] 油
760,OK,[形容詞] 好吧
761,old,[形容詞] 年老的
762,on,[介系詞] 在…上面
763,once,[副詞] 一次
764,one,[形容詞] 一個的; [名詞] 一;一個人;一件事物
765,only,"[副詞] 只,僅僅,才;不料;反而; [連接詞] 可是,不過;要不是,若非"
766,open,[動詞] 打開
767,or,[連接詞] 或
768,orange,[形容詞] 橙色的; [名詞] 柳橙;橙色
769,order,[動詞] 點菜;訂購; [名詞] 定單
770,other,[形容詞] 其他的; [代名詞] 其他的人或物
771,our,[代名詞] 我們的 (所有格)
772,ours,[代名詞] (所有格) 我們的(東西)
773,ourselves,[代名詞] (反身代名詞) 我們自己
774,out,[形容詞] 在外的; [副詞] 在外地; [介系詞] 通過...而出
775,outside,[副詞] 外面地; [介系詞] 在外
776,over,[形容詞] 結束了; [介系詞] 在…之上
777,own,[形容詞] 自己的; [動詞] 擁有
778,ox,[名詞] 公牛
779,P.M.,[縮寫] 下午
780,pack,[動詞] 包裝; [名詞] 一小包
781,package,[名詞] 包裹
782,page,[名詞] 頁
783,paint,[動詞] 畫圖;油漆
784,pair,[名詞] 一副
785,pants,[名詞] 褲子
786,papaya,[名詞] 木瓜
787,paper,[名詞] 紙張
788,parent,[名詞] 雙親之一
789,park,[動詞] 停放車輛; 放置; [名詞] 公園
790,part,[名詞] 部份
791,party,[名詞] 派對
792,pass,[動詞] 及格;經過;超過;傳遞
793,past,[形容詞] 過去的; [介系詞] 走過
794,paste,[動詞] 黏貼; [名詞] 漿糊
795,pay,[動詞] 付錢
796,PE,[縮寫] 體育 (physical education)
797,peach,[名詞] 桃子
798,pear,[名詞] 梨子
799,pen,[名詞] 原子筆;墨水筆
800,pencil,[名詞] 鉛筆
801,people,[名詞] 人們
802,perhaps,[副詞] 或許;可能
803,person,[名詞] 人
804,pet,[名詞] 寵物
805,phone,[名詞] 電話
806,photo,[名詞] 相片
807,piano,[名詞] 鋼琴
808,pick,[動詞] 採收;撿起;選
809,picnic,[名詞] 野餐
810,picture,[名詞] 圖畫;照片
811,pie,[名詞] 派(食品)
812,piece,[名詞] 件;片
813,pig,[名詞] 豬
814,pin,[名詞] 大頭針;胸針
815,pink,[形容詞] 粉紅色的; [名詞] 粉紅色
816,pipe,[名詞] 管子
817,pizza,[名詞] 披薩
818,place,[名詞] 地方
819,plan,[動詞] 計劃; [名詞] 計畫
820,plane,[名詞] 飛機
821,planet,[名詞] 行星
822,plant,"[動詞] 栽種;播種; [名詞] 植物,農作物;工廠"
823,plate,[名詞] 盤;碟
824,play,[動詞] 玩; [名詞] 遊戲;戲劇
825,player,[名詞] 遊戲者;運動者;表演者
826,playground,[名詞] 遊樂場;運動場
827,please,[動詞] 請;取悅
828,pleasure,[名詞] 愉快
829,pocket,[名詞] 口袋
830,point,[名詞] 點;要點
831,police,[名詞] 警察
832,polite,[形容詞] 有禮貌的
833,pond,[名詞] 池塘
834,pool,[名詞] 水池;美式撞球
835,poor,[形容詞] 貧窮的
836,popcorn,[名詞] 爆米花
837,popular,[形容詞] 流行的;受歡迎的
838,pork,[名詞] 豬肉
839,possible,[形容詞] 可能的
840,post office,[名詞] 郵局
841,postcard,[名詞] 明信片
842,pot,[名詞] 罐;鍋
843,pound,[名詞] 磅
844,power,[名詞] 權力;動力
845,practice,[動詞] 練習;訓練; [名詞] 練習
846,pray,[動詞] 禱告
847,prepare,[動詞] 準備
848,present,[動詞] 提出; [名詞] 禮物
849,pretty,[形容詞] 漂亮的; [副詞] 十分地
850,price,[名詞] 價錢
851,prince,[名詞] 王子
852,princess,[名詞] 公主
853,prize,[名詞] 獎品
854,problem,[名詞] 問題
855,program,[名詞] 節目
856,proud,[形容詞] 感光榮的;驕傲的
857,public,[形容詞] 公開的;公立的
858,pull,[動詞] 拉
859,pumpkin,[名詞] 南瓜
860,puppy,[名詞] 小狗
861,purple,[形容詞] 紫色的; [名詞] 紫色
862,push,[動詞] 推開
863,put,[動詞] 放置
864,quarter,[名詞] ?;美金25分;15分鐘
865,queen,[名詞] 皇后
866,question,[動詞] 詢問; [名詞] 問題
867,quick,[形容詞] 快的
868,quiet,[形容詞] 安靜的
869,quite,[副詞] 完全地;相當
870,quiz,[名詞] 小考
871,rabbit,[名詞] 兔子
872,race,[動詞] 與...賽跑; [名詞] 競賽;(生物的)種類
873,radio,[名詞] 收音機
874,railway,[名詞] 鐵路
875,rain,[動詞] 下雨; [名詞] 雨
876,rainbow,[名詞] 彩虹
877,rainy,[形容詞] 下雨的;多雨的
878,raise,[動詞] 舉起;提高
879,rat,[名詞] 老鼠
880,read,[動詞] 閱讀
881,ready,[形容詞] 準備好的
882,real,[形容詞] 真實的
883,recorder,[名詞] 錄影機;錄音機
884,red,[形容詞] 紅色的; [名詞] 紅色
885,refrigerator,[名詞] 電冰箱
886,remember,[動詞] 記得
887,repeat,[動詞] 重複
888,reporter,[名詞] 記者
889,rest,[動詞] 休息
890,restaurant,[名詞] 餐廳
891,restroom,[名詞] 廁所
892,rice,[名詞] 稻米;飯
893,rich,[形容詞] 富有的
894,ride,[動詞] 騎;乘; [名詞] 搭乘;兜風
895,right,[形容詞] 右邊;對的; [副詞] 向右地;馬上; [名詞] 公理;權利
896,ring,"[動詞] (鐘,鈴等)鳴,響; [名詞] 指環;鈴聲"
897,rise,[動詞] 起身;升起
898,river,[名詞] 河流
899,road,[名詞] 道路
900,robot,[名詞] 機器人
901,ROC,[名詞] 中華民國
902,rock,[動詞] 搖動; [名詞] 岩石;搖滾樂
903,roll,[動詞] 捲;滾
904,room,[名詞] 房間
905,rope,[名詞] 粗繩
906,round,[形容詞] 圓形的
907,row,[動詞] 划船; [名詞] 行列
908,rule,[動詞] 統治;裁決; [名詞] 規則
909,ruler,[名詞] 尺;統治者
910,run,[動詞] 跑
911,sad,[形容詞] 難過的
912,safe,[形容詞] 安全的
913,sail,[動詞] 航行
914,salad,[名詞] 沙拉
915,sale,[名詞] 售賣;賤賣
916,salesman,[名詞] 售貨員
917,salt,[名詞] 鹽
918,same,[形容詞] 相同的
919,sandwich,[名詞] 三明治
920,Saturday,[名詞] 星期六
921,save,[動詞] 救;省;存錢
922,say,[動詞] 說
923,scared,[形容詞] 害怕的
924,school,[名詞] 學校
925,science,[名詞] 科學
926,scooter,[名詞] 小輪摩托車
927,screen,[動詞] 篩選;放映電影; [名詞] 屏;銀幕
928,sea,[名詞] 海
929,season,[名詞] 季節
930,seat,[名詞] 座位
931,second,[名詞] 第二;秒
932,secretary,[名詞] 秘書
933,see,[動詞] 看見
934,seed,[名詞] 種子
935,seesaw,[名詞] 蹺蹺板
936,seldom,[副詞] 很少地
937,sell,[動詞] 賣
938,send,[動詞] 寄發;送
939,senior high school,[片語] 高級中學
940,sentence,[動詞] 宣判;判決; [名詞] 句子
941,September,[名詞] 九月
942,serious,[形容詞] 嚴肅的;嚴重的;認真的
943,set,[動詞] 安放;沒入; [名詞] 套;組
944,seven,[形容詞] 七的; [名詞] 七
945,seventeen,[形容詞] 十七的; [名詞] 十七
946,seventy,[形容詞] 七十的; [名詞] 七十
947,several,[形容詞] 幾個的
948,shake,[動詞] 搖動;握(手); [名詞] 搖動;奶昔
949,shall,[助動詞] 將;應該
950,shape,[名詞] 形狀
951,share,[動詞] 分享
952,shark,[名詞] 鯊魚
953,sharp,[形容詞] 尖銳的;敏銳的
954,she,[代名詞] 她
955,she'd,[縮短形] she had; she would
956,sheep,[名詞] 綿羊
957,she'll,[縮短形] she will
958,she's,[縮短形] she is; she has
959,shine,[動詞] 照耀
960,ship,[名詞] 船
961,shirt,[名詞] 襯衫
962,shoe,[名詞] 鞋子
963,shop,[動詞] 購物; [名詞] 商店
964,shopkeeper,[名詞] 小店主
965,short,[形容詞] 矮的;短的
966,shorts,[名詞] 短褲
967,should,"[助動詞] 將;萬一,竟然;該"
968,shoulder,[名詞] 肩膀
969,shouldn't,[縮短形] should not
970,shout,[動詞] 呼叫
971,show,[動詞] 表演;顯示; [名詞] 展覽;電影
972,shy,[形容詞] 害羞的
973,sick,[形容詞] 生病的
974,side,[形容詞] 側面的; [名詞] 邊
975,sidewalk,[名詞] 路邊行人道
976,sight,[名詞] 視力;景象
977,sign,[動詞] 簽字;做信號; [名詞] 記號
978,simple,[形容詞] 簡單的
979,since,[介系詞] 由於;自從...之後; [連接詞] 自...以來;因為
980,sing,[動詞] 唱歌
981,singer,[名詞] 歌手
982,sir,[名詞] 先生
983,sister,[名詞] 姊妹
984,sit,[動詞] 坐
985,six,[形容詞] 六的; [名詞] 六
986,sixteen,[形容詞] 十六的; [名詞] 十六
987,sixty,[形容詞] 六十的; [名詞] 六十
988,size,[名詞] 大小;尺寸
989,skate,[動詞] 溜冰; [名詞] 冰鞋
990,skirt,[名詞] 裙子
991,sky,[名詞] 天空
992,sleep,[動詞] 睡覺
993,slide,[動詞] 滑壘滑動; [名詞] 滑梯;土崩
994,slim,[形容詞] 細長的;微小的
995,slow,[形容詞] 緩慢的
996,small,[形容詞] 小的
997,smart,[形容詞] 聰明的
998,smell,[動詞] 聞
999,smile,[動詞] 微笑; [名詞] 微笑
1000,smoke,[動詞] 抽煙;冒煙; [名詞] 煙
1001,snack,[名詞] 點心
1002,snake,[名詞] 蛇
1003,snow,[動詞] 下雪; [名詞] 雪
1004,snowman,[名詞] 雪人
1005,snowy,[形容詞] 似雪的;多雪的
1006,so,[副詞] 這麼;也如此; [連接詞] 因此
1007,soccer,[名詞] 足球
1008,socks,[名詞] 一雙襪子
1009,sofa,[名詞] 沙發
1010,soldier,[名詞] 軍人
1011,some,[形容詞] 一些的; [代名詞] 一些
1012,somebody,[代名詞] 某人
1013,somebody's,[縮短形] somebody is; somebody has
1014,someone,[代名詞] 某人
1015,something,[代名詞] 某事
1016,sometimes,[副詞] 有時候
1017,somewhere,[副詞] 在某處
1018,son,[名詞] 兒子
1019,song,[名詞] 歌曲
1020,soon,[副詞] 即刻;不久
1021,sore,[形容詞] 疼痛的
1022,sorry,[形容詞] 抱歉;遺憾的; [感歎詞] 對不起
1023,sound,[動詞] 聽起來; [名詞] 聲音
1024,soup,[名詞] 湯
1025,south,[形容詞] 南方的; [副詞] 向南方; [名詞] 南方
1026,space,[名詞] 空位;太空
1027,spaghetti,[名詞] 義大利麵條
1028,speak,[動詞] 說;講
1029,special,[形容詞] 特別的
1030,spell,[動詞] 拼字
1031,spend,[動詞] 花費(錢或時間)
1032,spider,[名詞] 蜘蛛
1033,spoon,[名詞] 湯匙
1034,sports,[形容詞] 運動的
1035,spring,[名詞] 春天;泉
1036,square,[形容詞] 正方形的; [名詞] 正方形
1037,stairs,[名詞] 樓梯
1038,stamp,[動詞] 頓足;蓋印; [名詞] 郵票;印章
1039,stand,"[動詞] 站住; 堅持; 面對; 承擔...任務; [名詞] 攤子;停止,站立； 立場;態度"
1040,star,[名詞] 星星;明星
1041,start,[動詞] 開始
1042,station,[名詞] 車站;場所
1043,stay,[動詞] 停留
1044,steak,[名詞] 牛排
1045,still,[形容詞] 靜止的; [副詞] 仍然
1046,stomach,[名詞] 胃
1047,stop,[動詞] 停止; [名詞] 車站
1048,store,[名詞] 商店
1049,story,[名詞] 故事;樓層
1050,straight,[形容詞] 直的
1051,strange,[形容詞] 奇怪的
1052,straw,[名詞] 稻草;吸管
1053,strawberry,[名詞] 草莓
1054,street,[名詞] 街道
1055,strong,[形容詞] 強壯的
1056,student,[名詞] 學生
1057,study,[動詞] 學習;讀書; [名詞] 書房
1058,stupid,[形容詞] 笨的
1059,subject,[名詞] 主題;學科
1060,successful,[形容詞] 成功的
1061,sugar,[名詞] 糖
1062,summer,[名詞] 夏天
1063,sun,[名詞] 太陽
1064,Sunday,[名詞] 星期日
1065,sunny,[形容詞] 晴朗的
1066,supermarket,[名詞] 超級市場
1067,sure,[形容詞] 確定
1068,surf,[動詞] 衝浪;在網路或頻道上搜索資料; [名詞] 海浪
1069,surprise,[動詞] 使驚奇; [名詞] 意外之事物
1070,surprised,[形容詞] 驚訝的
1071,sweater,[名詞] 毛衣
1072,sweet,[形容詞] 甜的
1073,swim,[動詞] 游泳
1074,swing,[動詞] 搖擺;揮動; [名詞] 鞦韆;搖擺音樂
1075,table,"[名詞] 桌子;表,目錄"
1076,tail,[名詞] 尾巴
1077,Taiwan,[名詞] 台灣
1078,take,[動詞] 拿;帶;採用
1079,talk,[動詞] 講話
1080,tall,[形容詞] 高的
1081,tape,[名詞] 錄音帶;錄影帶;膠帶
1082,taste,[動詞] 嘗
1083,taxi,[名詞] 計程車
1084,tea,[名詞] 茶
1085,teach,[動詞] 教
1086,teacher,[名詞] 老師
1087,team,[名詞] 隊
1088,teenager,[名詞] 十幾歲孩子
1089,telephone,[名詞] 電話
1090,television,[名詞] 電視
1091,tell,[動詞] 告訴
1092,temple,[名詞] 廟宇;神殿
1093,ten,[形容詞] 十的; [名詞] 十
1094,tennis,[名詞] 網球
1095,terrible,[形容詞] 可怕的
1096,test,[動詞] 試驗;測驗; [名詞] 測驗;考試
1097,than,[介系詞] 比; 超過; [連接詞] 比較
1098,thank,[動詞] 感謝
1099,that,[形容詞] 那;那個; [連接詞] 以致; [代名詞] 那人;那事
1100,that's,[縮短形] that is
1101,the,[冠詞] 這
1102,theater,[名詞] 戲院;劇院
1103,their,[代名詞] (所有格) 他們的
1104,theirs,[代名詞] (所有格) 他們的(東西)
1105,them,[代名詞] (受格) 他們
1106,themselves,"[代名詞] (反身代名詞) 他(她,它)們自己"
1107,then,[副詞] 當時;之後;那麼
1108,there,[副詞] 在那裡
1109,there's,[縮短形] there is; there has
1110,these,[代名詞] 這些
1111,they,[代名詞] 他們
1112,they'd,[縮短形] they would
1113,they'll,[縮短形] they will
1114,they're,[縮短形] they are
1115,they've,[縮短形] they have
1116,thick,[形容詞] 粗的;厚的
1117,thin,[形容詞] 瘦的
1118,thing,[名詞] 事物;東西
1119,think,[動詞] 想
1120,third,[形容詞] 第三
1121,thirsty,[形容詞] 口渴的
1122,thirteen,[形容詞] 十三的; [名詞] 十三
1123,thirty,[形容詞] 三十的; [名詞] 三十
1124,this,[形容詞] 這; [代名詞] 這個;這人;這事
1125,those,[代名詞] 那些
1126,though,[連接詞] 雖然
1127,thousand,[形容詞] 千的; [名詞] 千
1128,three,[形容詞] 三的; [名詞] 三
1129,throat,[名詞] 喉嚨
1130,throw,[動詞] 投;拋
1131,Thursday,[名詞] 星期四
1132,ticket,[名詞] 票;罰單
1133,tidy,[形容詞] 整潔的; [動詞] 使整潔
1134,tie,[動詞] 綁;繫; [名詞] 結;領帶;平手
1135,tiger,[名詞] 老虎
1136,time,[名詞] 時間;次數
1137,tired,[形容詞] 疲倦的
1138,to,[介系詞] 到;向
1139,toast,[動詞] 烤;乾杯; [名詞] 烤麵包片
1140,today,[副詞] 今天; [名詞] 今天
1141,toe,[名詞] 腳趾
1142,together,[副詞] 一同
1143,tomato,[名詞] 番茄
1144,tomorrow,[副詞] 明天; [名詞] 明天
1145,tonight,[副詞] 今夜;今晚; [名詞] 今夜;今晚
1146,too,[副詞] 也是;過於
1147,tool,[名詞] 工具
1148,tooth,[名詞] 牙齒
1149,top,[形容詞] 最高的; [名詞] 頂部; 陀螺
1150,total,[形容詞] 總的; [名詞] 總額
1151,touch,[動詞] 觸摸
1152,towel,[名詞] 毛巾
1153,town,[名詞] 城市
1154,toy,[名詞] 玩具
1155,traffic,[名詞] 交通
1156,train,[名詞] 火車
1157,trash,[名詞] 垃圾
1158,treat,[動詞] 對待;治療; [名詞] 款待
1159,tree,[名詞] 樹木
1160,trick,[動詞] 欺騙; [名詞] 詭計;戲法;惡作劇
1161,trip,[名詞] 旅行
1162,trouble,[名詞] 麻煩
1163,truck,[名詞] 卡車
1164,TRUE,[形容詞] 真實的;正確的
1165,try,[動詞] 試做
1166,T-shirt,[名詞] 短袖圓領運動衫
1167,tub,[名詞] 浴缸
1168,Tuesday,[名詞] 星期二
1169,turkey,[名詞] 火雞
1170,turn,[動詞] 轉; [名詞] 輪到
1171,turtle,[名詞] 烏龜
1172,TV,[縮寫] 電視
1173,twelve,[形容詞] 十二的; [名詞] 十二
1174,twenty,[形容詞] 二十的; [名詞] 二十
1175,twice,[副詞] 兩次
1176,two,[形容詞] 二的; [名詞] 二
1177,type,[動詞] 打字; [名詞] 類型
1178,typhoon,[名詞] 颱風
1179,umbrella,[名詞] 雨傘
1180,uncle,[名詞] 叔叔
1181,under,[介系詞] 在…下面
1182,understand,[動詞] 了解
1183,unhappy,[形容詞] 不快樂的
1184,uniform,[名詞] 制服
1185,until,[介系詞] 直到
1186,up,[副詞] 向上; [介系詞] 向...上
1187,us,[代名詞] 我們 (受格)
1188,USA,[縮寫] 美國 (United States of America)
1189,use,[動詞] 利用; [名詞] 用途
1190,useful,[形容詞] 有用的
1191,vacation,[名詞] 假期
1192,vegetable,[名詞] 蔬菜
1193,very,[副詞] 很;非常
1194,vest,[名詞] 背心
1195,video,[名詞] 錄影機;錄影帶
1196,violin,[名詞] 小提琴
1197,visit,[動詞] 訪問; [名詞] 訪問
1198,voice,[名詞] (人的)聲音
1199,wait,[動詞] 等候
1200,waiter,[名詞] 男服務生
1201,waitress,[名詞] 女服務生
1202,wake,[動詞] 叫醒
1203,walk,[動詞] 走路
1204,wall,[名詞] 牆
1205,wallet,[名詞] 皮夾
1206,want,[動詞] 想要
1207,warm,[形容詞] 溫暖的; [動詞] 使暖和
1208,wash,[動詞] 洗
1209,wasn't,[縮短形] was not
1210,watch,[動詞] 注意看; [名詞] 手錶
1211,water,[名詞] 水
1212,watermelon,[名詞] 西瓜
1213,wave,[動詞] 揮動; [名詞] 波浪
1214,way,[名詞] 方法;路
1215,we,[代名詞] 我們
1216,weak,[形容詞] 虛弱的
1217,wear,"[動詞] 穿著, 磨損, 使力竭"
1218,weather,[名詞] 天氣
1219,we'd,[縮短形] we would
1220,Wednesday,[名詞] 星期三
1221,week,[名詞] 星期
1222,weekend,[名詞] 周末
1223,welcome,[動詞] 歡迎
1224,well,[形容詞] 健康的; [副詞] 很好地;充分地; [感歎詞] 啊;那麼
1225,we'll,[縮短形] we will
1226,we're,[縮短形] we are
1227,weren't,[縮短形] were not
1228,west,[形容詞] 西方的; [副詞] 向西方; [名詞] 西方
1229,wet,[形容詞] 潮溼的
1230,we've,[縮短形] we have
1231,whale,[名詞] 鯨魚
1232,what,[代名詞] 什麼
1233,what's,[縮短形] what is
1234,when,[副詞] 何時
1235,when's,[縮短形] when is
1236,where,[副詞] 在哪兒
1237,where's,[縮短形] where is
1238,whether,[連接詞] 是否
1239,which,[代名詞] 哪一個
1240,white,[形容詞] 白色的; [名詞] 白色
1241,who,[代名詞] 誰
1242,who'd,[縮短形] who had; who would
1243,who's,[縮短形] who is; who has
1244,whose,[代名詞] 誰的
1245,why,[副詞] 為什麼
1246,wife,[名詞] 妻子
1247,will,[助動詞] 將
1248,win,[動詞] 贏得
1249,wind,[名詞] 風
1250,window,[名詞] 窗戶
1251,windy,[形容詞] 多風的
1252,winter,[名詞] 冬天
1253,wise,[形容詞] 有智慧的
1254,wish,[動詞] 祝福
1255,with,[介系詞] 跟...在一起;有
1256,without,[介系詞] 沒有
1257,woman,[名詞] 女人
1258,wonderful,[形容詞] 很棒的;奇妙的
1259,won't,[縮短形] will not
1260,word,[名詞] 字
1261,work,"[動詞] 工作; 運轉; [名詞] 工作,作品"
1262,workbook,[名詞] 作業簿
1263,worker,[名詞] 工人
1264,world,[名詞] 世界
1265,worry,[動詞] 擔心
1266,wouldn't,[縮短形] would not
1267,write,[動詞] 寫
1268,writer,[名詞] 作家
1269,wrong,[形容詞] 錯誤的
1270,yard,[名詞] 庭院;碼(3英呎)
1271,yeah,[副詞] 是
1272,year,[名詞] 年
1273,yellow,[形容詞] 黃色的; [名詞] 黃色
1274,yes,[副詞] 是
1275,yesterday,[形容詞] 昨天; [副詞] 昨天
1276,yet,[副詞] 尚未;但是; [連接詞] 然而
1277,you,[代名詞] 你;你們
1278,you'd,[縮短形] you had; you would
1279,you'll,[縮短形] you will
1280,young,[形容詞] 年輕的
1281,your,[代名詞] (所有格) 你的;你們的
1282,you're,[縮短形] you are
1283,yours,[代名詞] (所有格) 你的(東西);你們的(東西)
1284,yourself,[代名詞] (反身代名詞) 你自己
1285,yourselves,[代名詞] (反身代名詞) 你們自己
1286,you've,[縮短形] you have
1287,yummy,[形容詞] 好吃的
1288,zebra,[名詞] 斑馬
1289,zero,[形容詞] 零的; [名詞] 零
1290,zoo,[名詞] 動物園
